SubscriberID,Region,Plan,OnboardingScore,HasNegativeTicketPreRenewal,Cancelled,TotalSpent,DaysBeforeRenewalLastNegativeTicket,CancellationReason
S-13955,West,Quarterly Bundle,41.7,False,True,1031.78,,No longer needed
S-16409,South,Monthly Plus,68.9,False,False,1388.17,,
S-11038,Midwest,Monthly Plus,52.6,True,True,63.18,5.5,Product quality
S-15755,West,Quarterly Bundle,72.6,False,False,929.3,,
S-13659,West,Monthly Essentials,36.1,False,False,975.98,,
S-14982,Northeast,Quarterly Bundle,63.3,False,False,1267.04,,
S-10584,Northeast,Quarterly Bundle,40.1,True,True,628.33,9.1,Relocation
S-15542,Northeast,Quarterly Bundle,70.4,False,False,2793.54,,
S-10497,Northeast,Quarterly Bundle,36.9,True,False,2050.25,5.4,
S-10354,Midwest,Quarterly Bundle,42.2,True,True,1751.46,7.5,No longer needed
S-14282,West,Quarterly Bundle,44.8,False,False,921.07,,
S-18170,Midwest,Monthly Essentials,88.5,False,True,896.58,,Switched provider
S-13061,South,Monthly Essentials,80.5,True,False,42.08,1.8,
S-13653,Midwest,Monthly Essentials,36.5,False,False,781.16,,
S-12522,West,Monthly Plus,78.1,True,False,313.42,13.4,
S-16803,Northeast,Monthly Essentials,82.1,False,False,236.99,,
S-10669,Northeast,Monthly Plus,36.4,True,True,1146.84,5.1,Shipping issues
S-13854,West,Monthly Essentials,45.7,False,True,865.45,,
S-14123,Midwest,Monthly Essentials,41.8,False,False,834.96,,
S-10306,West,Quarterly Bundle,48.3,True,False,1082.55,7.0,
S-11775,South,Quarterly Bundle,59.4,True,False,3303.07,5.1,
S-10504,Midwest,Monthly Essentials,49.6,True,True,582.6,0.8,Switched provider
S-15132,South,Quarterly Bundle,68.8,False,False,1442.87,,
S-16431,Midwest,Monthly Essentials,60.4,False,False,770.39,,
S-14457,Northeast,Monthly Essentials,42.5,False,False,361.39,,
S-10303,Midwest,Monthly Essentials,36.0,True,True,789.77,3.9,Paused
S-13634,West,Quarterly Bundle,47.3,False,True,161.52,,Product quality
S-16606,Midwest,Quarterly Bundle,65.7,False,False,1434.72,,
S-15735,Midwest,Monthly Essentials,66.2,False,False,185.15,,
S-15096,West,Monthly Essentials,63.6,False,False,672.08,,
S-10670,South,Monthly Essentials,54.4,True,True,652.06,6.8,Paused
S-15085,West,Monthly Essentials,57.2,False,False,179.48,,
S-10559,West,Quarterly Bundle,39.8,True,False,2252.19,6.3,
S-12818,Northeast,Quarterly Bundle,83.3,True,False,3216.9,10.4,
S-13696,South,Quarterly Bundle,54.6,False,False,3064.97,,
S-16118,West,Quarterly Bundle,71.4,False,False,3560.95,,
S-11440,West,Quarterly Bundle,57.3,True,False,1990.95,2.8,
S-17132,South,Monthly Essentials,82.3,False,False,955.96,,
S-12058,South,Monthly Plus,60.7,True,True,902.2,1.1,Paused
S-17015,South,Monthly Essentials,96.6,False,False,160.38,,
S-12136,Northeast,Monthly Plus,61.1,True,False,1273.73,4.8,
S-10892,Midwest,Monthly Plus,42.8,True,False,558.6,9.8,
S-12304,Midwest,Monthly Plus,82.3,True,True,572.46,10.9,Switched provider
S-15913,Midwest,Quarterly Bundle,63.7,False,False,2118.87,,
S-16905,South,Quarterly Bundle,84.8,False,False,281.74,,
S-12284,West,Monthly Plus,98.5,True,False,902.75,0.0,
S-14045,West,Monthly Essentials,48.3,False,False,116.85,,
S-12193,South,Monthly Plus,93.9,True,True,336.16,2.8,
S-14955,South,Monthly Plus,45.3,False,False,755.43,,
S-12905,Midwest,Monthly Plus,93.9,True,False,163.4,1.5,
S-17457,Midwest,Monthly Essentials,88.1,False,False,718.9,,
S-13878,Northeast,Monthly Plus,49.0,False,False,838.63,,
S-11848,West,Monthly Essentials,62.0,True,False,237.43,10.6,
S-10894,Midwest,Monthly Plus,52.8,True,True,1027.06,3.3,Switched provider
S-15811,South,Monthly Essentials,67.9,False,False,776.41,,
S-16579,South,Monthly Essentials,66.8,False,True,671.14,,Relocation
S-11479,Midwest,Quarterly Bundle,72.4,True,False,2404.44,9.9,
S-16809,Northeast,Monthly Essentials,92.5,False,False,792.69,,
S-12733,South,Quarterly Bundle,95.4,True,True,2058.81,11.7,Product quality
S-17269,Northeast,Monthly Plus,82.9,False,False,346.42,,
S-10245,Northeast,Monthly Essentials,39.0,True,True,246.4,7.5,
S-10037,West,Monthly Plus,44.1,True,False,1388.17,5.6,
S-16953,Midwest,Monthly Essentials,93.7,False,False,398.13,,
S-16039,Midwest,Monthly Essentials,71.5,False,False,459.45,,
S-18002,West,Monthly Essentials,79.2,False,False,316.2,,
S-16529,Northeast,Quarterly Bundle,64.5,False,False,1359.24,,
S-12928,Midwest,Quarterly Bundle,99.8,True,True,2059.95,3.0,
S-14694,South,Monthly Essentials,50.5,False,False,314.75,,
S-16230,West,Monthly Plus,55.6,False,False,432.47,,
S-16770,Midwest,Quarterly Bundle,89.9,False,False,1603.55,,
S-10059,South,Quarterly Bundle,54.2,True,False,720.41,3.8,
S-17574,South,Monthly Essentials,78.1,False,False,282.9,,
S-12828,South,Monthly Essentials,90.7,True,True,37.31,5.0,Relocation
S-17743,South,Monthly Plus,99.4,False,False,1069.78,,
S-12981,Midwest,Monthly Plus,95.8,True,True,239.5,5.9,Shipping issues
S-10363,West,Monthly Plus,50.4,True,True,645.57,4.5,Shipping issues
S-11017,Midwest,Quarterly Bundle,47.9,True,True,3392.82,0.2,Price
S-12154,Midwest,Monthly Essentials,57.1,True,False,643.71,1.3,
S-13091,Midwest,Quarterly Bundle,85.4,True,True,1801.81,0.3,Support experience
S-12888,South,Quarterly Bundle,99.7,True,False,2585.28,4.0,
S-13143,Midwest,Monthly Essentials,87.1,True,False,729.55,13.6,
S-17658,Midwest,Monthly Essentials,85.9,False,False,942.6,,
S-17754,Midwest,Quarterly Bundle,79.4,False,False,2236.79,,
S-11727,South,Monthly Essentials,57.9,True,True,160.34,5.6,Shipping issues
S-12862,Midwest,Monthly Essentials,84.3,True,False,527.89,2.8,
S-13410,Midwest,Monthly Essentials,50.3,False,False,946.5,,
S-13606,South,Monthly Essentials,40.5,False,True,730.9,,Support experience
S-13342,South,Monthly Plus,41.8,False,False,1328.73,,
S-13585,Midwest,Monthly Essentials,41.3,False,False,369.45,,
S-16689,Midwest,Monthly Plus,94.1,False,False,841.04,,
S-16060,West,Monthly Plus,69.7,False,False,952.66,,
S-15652,West,Monthly Plus,56.3,False,False,866.52,,
S-10231,West,Monthly Essentials,48.1,True,False,526.8,1.6,
S-17977,South,Monthly Plus,77.4,False,False,517.44,,
S-15372,South,Monthly Plus,64.2,False,False,564.94,,
S-11898,South,Quarterly Bundle,71.7,True,False,443.45,5.1,
S-14189,Midwest,Quarterly Bundle,44.1,False,False,2663.94,,
S-10843,Midwest,Monthly Plus,35.7,True,True,1466.46,12.4,Support experience
S-14010,Northeast,Monthly Essentials,44.9,False,False,485.19,,
S-14958,West,Monthly Essentials,60.6,False,False,639.18,,
S-13235,West,Quarterly Bundle,82.3,True,False,2603.26,7.6,
S-17446,West,Monthly Plus,85.6,False,False,678.18,,
S-14985,West,Monthly Essentials,55.5,False,False,487.05,,
S-15704,South,Monthly Plus,63.6,False,False,253.22,,
S-12883,Midwest,Quarterly Bundle,90.9,True,False,875.03,9.5,
S-18291,Midwest,Monthly Plus,79.2,False,False,747.21,,
S-14036,Midwest,Monthly Essentials,50.0,False,False,73.48,,
S-16650,West,Monthly Essentials,61.8,False,False,807.44,,
S-15551,South,Quarterly Bundle,72.6,False,False,837.76,,
S-10067,Midwest,Monthly Essentials,38.8,True,False,214.02,2.5,
S-12499,Midwest,Monthly Plus,85.2,True,False,1288.21,9.8,
S-10373,West,Monthly Plus,40.3,True,True,56.6,6.2,Product quality
S-14766,Northeast,Quarterly Bundle,49.6,False,False,3444.14,,
S-16732,South,Monthly Essentials,99.5,False,False,631.99,,
S-12398,West,Monthly Plus,89.0,True,False,634.73,2.3,
S-18162,Midwest,Monthly Plus,89.1,False,False,274.53,,
S-17968,Northeast,Monthly Plus,99.5,False,False,267.18,,
S-11639,South,Monthly Essentials,69.5,True,False,36.89,4.8,
S-17663,Northeast,Monthly Plus,94.4,False,False,547.63,,
S-13131,West,Quarterly Bundle,76.8,True,False,2312.95,0.4,
S-12885,South,Monthly Plus,92.9,True,False,56.03,3.8,
S-18276,West,Monthly Plus,79.3,False,False,1198.98,,
S-15090,West,Monthly Essentials,64.7,False,False,85.61,,
S-17453,Midwest,Quarterly Bundle,80.9,False,False,1228.52,,
S-11462,Midwest,Monthly Plus,65.4,True,False,439.27,2.6,
S-12379,South,Monthly Plus,81.4,True,False,873.24,9.0,
S-11037,Northeast,Monthly Plus,51.3,True,True,220.92,5.1,
S-11550,West,Monthly Plus,73.2,True,False,315.02,7.2,
S-14214,West,Monthly Plus,35.6,False,False,1143.22,,
S-11745,West,Quarterly Bundle,75.0,True,False,454.62,8.7,
S-10994,Northeast,Quarterly Bundle,43.1,True,True,2457.89,0.6,Product quality
S-17631,Midwest,Quarterly Bundle,92.0,False,False,1218.44,,
S-13890,South,Quarterly Bundle,51.5,False,False,1236.47,,
S-11256,Northeast,Quarterly Bundle,60.4,True,False,3191.71,3.8,
S-11649,Midwest,Quarterly Bundle,57.8,True,False,1565.48,5.1,
S-18156,West,Monthly Plus,89.0,False,False,514.86,,
S-16464,Northeast,Monthly Plus,74.2,False,False,703.47,,
S-15963,West,Quarterly Bundle,73.1,False,False,2666.4,,
S-15441,Northeast,Quarterly Bundle,61.8,False,False,481.33,,
S-13765,West,Quarterly Bundle,44.2,False,False,438.32,,
S-16998,Midwest,Monthly Essentials,96.2,False,True,632.46,,Shipping issues
S-15243,Northeast,Quarterly Bundle,58.7,False,False,3401.33,,
S-15416,Midwest,Monthly Plus,59.9,False,False,567.63,,
S-12929,Midwest,Quarterly Bundle,81.7,True,False,729.7,2.1,
S-10569,South,Monthly Essentials,43.9,True,True,372.35,6.4,Switched provider
S-13475,South,Monthly Plus,49.7,False,False,679.89,,
S-12359,West,Quarterly Bundle,80.9,True,False,1074.93,8.4,
S-13524,Midwest,Monthly Essentials,45.3,False,True,417.91,,
S-12665,West,Monthly Plus,97.2,True,True,320.55,12.1,Switched provider
S-10999,West,Monthly Essentials,35.7,True,True,365.21,5.6,Product quality
S-12878,South,Quarterly Bundle,79.0,True,False,3624.66,7.8,
S-11702,Northeast,Monthly Essentials,58.5,True,True,817.73,0.7,Shipping issues
S-17479,South,Quarterly Bundle,87.2,False,False,469.74,,
S-16080,South,Monthly Essentials,61.4,False,False,856.55,,
S-17733,Midwest,Quarterly Bundle,96.6,False,False,1111.84,,
S-13801,South,Quarterly Bundle,54.9,False,False,2831.62,,
S-15724,South,Monthly Essentials,66.5,False,False,746.19,,
S-17196,South,Monthly Essentials,94.6,False,False,813.69,,
S-13481,Northeast,Quarterly Bundle,52.0,False,False,2420.04,,
S-15979,West,Quarterly Bundle,63.2,False,False,612.39,,
S-17435,Northeast,Monthly Plus,79.8,False,False,631.76,,
S-18215,West,Quarterly Bundle,81.8,False,False,689.76,,
S-13926,Northeast,Quarterly Bundle,51.6,False,False,2471.63,,
S-14547,Midwest,Quarterly Bundle,45.7,False,False,3376.22,,
S-18121,West,Monthly Plus,85.2,False,False,463.1,,
S-13100,West,Monthly Essentials,79.7,True,False,486.08,13.4,
S-15859,Midwest,Quarterly Bundle,67.2,False,False,295.09,,
S-15977,Midwest,Monthly Essentials,60.9,False,False,765.91,,
S-16015,South,Quarterly Bundle,59.6,False,False,2101.62,,
S-12525,Midwest,Monthly Plus,95.9,True,False,507.85,2.2,
S-15386,Midwest,Monthly Plus,65.3,False,False,999.72,,
S-13222,West,Monthly Essentials,91.8,True,False,988.86,14.0,
S-12672,Northeast,Monthly Plus,82.5,True,False,1234.36,9.5,
S-17245,South,Monthly Plus,89.9,False,False,1021.78,,
S-12420,West,Quarterly Bundle,81.5,True,False,1863.61,6.6,
S-14479,South,Monthly Essentials,45.1,False,False,785.27,,
S-13060,West,Monthly Plus,81.7,True,False,181.0,10.3,
S-10701,West,Quarterly Bundle,35.7,True,True,490.62,9.6,Paused
S-10196,Midwest,Monthly Essentials,39.6,True,False,128.69,7.6,
S-16829,Northeast,Monthly Essentials,75.0,False,False,115.83,,
S-11453,West,Monthly Plus,59.6,True,True,277.12,9.4,No longer needed
S-16824,Northeast,Monthly Plus,91.7,False,True,757.93,,Switched provider
S-13038,West,Monthly Plus,77.5,True,False,555.59,0.9,
S-11337,Northeast,Monthly Essentials,67.8,True,True,38.42,5.0,No longer needed
S-15459,West,Quarterly Bundle,61.3,False,False,1214.01,,
S-13484,West,Monthly Plus,39.0,False,False,701.57,,
S-13822,West,Monthly Plus,54.2,False,False,568.79,,
S-15491,Midwest,Monthly Plus,69.2,False,False,1241.04,,
S-10292,Midwest,Monthly Essentials,44.3,True,True,426.81,2.6,No longer needed
S-17228,South,Quarterly Bundle,90.4,False,False,2353.76,,
S-10263,Northeast,Monthly Essentials,50.9,True,False,123.3,14.0,
S-13190,Midwest,Quarterly Bundle,81.9,True,True,1926.34,5.4,Price
S-17967,Northeast,Monthly Plus,90.6,False,False,1213.57,,
S-12481,West,Monthly Essentials,95.8,True,True,110.57,10.4,Shipping issues
S-11655,Midwest,Quarterly Bundle,63.3,True,False,3266.77,3.4,
S-18167,West,Monthly Essentials,82.5,False,False,450.97,,
S-11452,South,Monthly Plus,55.7,True,False,1048.67,1.4,
S-15194,Northeast,Monthly Essentials,55.7,False,False,795.7,,
S-14741,South,Monthly Plus,37.0,False,False,407.34,,
S-17335,South,Monthly Essentials,89.1,False,False,80.34,,
S-16338,Midwest,Quarterly Bundle,58.4,False,False,2583.4,,
S-14782,West,Monthly Essentials,45.4,False,False,511.55,,
S-10281,Midwest,Monthly Essentials,37.8,True,True,289.27,10.0,Price
S-13436,Northeast,Quarterly Bundle,37.1,False,False,1861.77,,
S-13065,Midwest,Monthly Essentials,87.3,True,False,309.89,3.4,
S-11289,West,Monthly Essentials,70.1,True,False,401.95,12.9,
S-12089,Northeast,Monthly Essentials,66.7,True,False,992.28,10.7,
S-17921,South,Monthly Plus,80.8,False,False,801.31,,
S-17778,Midwest,Monthly Essentials,82.7,False,False,270.51,,
S-16879,Midwest,Quarterly Bundle,79.8,False,False,3330.05,,
S-14882,West,Quarterly Bundle,40.6,False,False,3357.75,,
S-15697,Northeast,Monthly Plus,64.0,False,False,1223.29,,
S-18178,Midwest,Monthly Essentials,95.7,False,False,699.27,,
S-10063,Northeast,Monthly Essentials,37.3,True,False,810.97,7.2,
