subscriber_id,region,plan,onboarding_score,negative_ticket_pre_renewal,cancelled,total_spent,days_before_renewal_negative_ticket,cancellation_reason
S-13955,West,Quarterly Bundle,41.7,No,Yes,USD 1031.78,,no longer needed
S-16409,South,Monthly Plus,68.9,False,No,1388.17,,
S-11038,Midwest,Monthly Plus,52.6,Yes,1,63.18,5.5,poor quality
S-15755,West,Quarterly Bundle,72.6,False,No,929.30,,
S-13659,West,Monthly Essentials,36.1,False,No,$975.98,,
S-14982,Northeast,Quarterly Bundle,63.3,No,0,1267.04,,
S-10584,Northeast,Quarterly Bundle,40.1,1,Yes,628.33,9.1,moving/relocating
S-15542,Northeast,Quarterly Bundle,70.4,0,No,2793.54,,
S-10497,Northeast,Quarterly Bundle,36.9,Yes,False,2050.25,5.4,
S-10354,Midwest,Quarterly Bundle,42.2,1,True,USD 1751.46,7.5,no longer needed
S-14282,West,Quarterly Bundle,44.8,False,No,USD 921.07,,
S-18170,Midwest,Monthly Essentials,88.5,False,Yes,USD 896.58,,found alternative
S-13061,South,Monthly Essentials,80.5,True,No,42.08,1.8,
S-13653,Midwest,Monthly Essentials,36.5,No,No,781.16,,
S-12522,West,Monthly Plus,78.1,True,0,$313.42,13.4,
S-16803,Northeast,Monthly Essentials,82.1,False,False,236.99,,
S-10669,Northeast,Monthly Plus,36.4,True,Yes,USD 1146.84,5.1,shipping issues
S-13854,West,Monthly Essentials,45.7,No,Yes,$865.45,,
S-14123,Midwest,Monthly Essentials,41.8,0,False,834.96,,
S-10306,West,Quarterly Bundle,48.3,True,0,"$1,082.55",7.0,
S-11775,South,Quarterly Bundle,59.4,True,False,3303.07,5.1,
S-10504,Midwest,Monthly Essentials,49.6,Yes,Yes,582.60,0.8,found alternative
S-15132,South,Quarterly Bundle,68.8,No,No,1442.87,,
S-16431,Midwest,Monthly Essentials,60.4,False,False,770.39,,
S-14457,Northeast,Monthly Essentials,42.5,False,0,361.39,,
S-10303,Midwest,Monthly Essentials,36.0,Yes,True,$789.77,3.9,paused indefinitely
S-13634,West,Quarterly Bundle,47.3,No,True,161.52,,poor quality
S-16606,Midwest,Quarterly Bundle,65.7,False,No,1434.72,,
S-15735,Midwest,Monthly Essentials,66.2,No,No,185.15,,
S-15096,West,Monthly Essentials,63.6,No,0,672.08,,
S-10670,South,Monthly Essentials,54.4,Yes,True,652.06,6.8,paused indefinitely
S-15085,West,Monthly Essentials,57.2,False,No,179.48,,
S-10559,West,Quarterly Bundle,39.8,Yes,0,"$2,252.19",6.3,
S-12818,Northeast,Quarterly Bundle,83.3,True,No,"$3,216.90",10.4,
S-13696,South,Quarterly Bundle,54.6,False,No,USD 3064.97,,
S-16118,West,Quarterly Bundle,71.4,No,No,3560.95,,
S-11440,West,Quarterly Bundle,57.3,Yes,False,1990.95,2.8,
S-17132,South,Monthly Essentials,82.3,No,No,955.96,,
S-12058,South,Monthly Plus,60.7,True,Yes,$902.20,1.1,paused indefinitely
S-12058,South,Monthly Plus,60.7,True,Yes,$902.20,1.1,paused indefinitely
S-17015,South,Monthly Essentials,96.6,0,No,160.38,,
S-12136,Northeast,Monthly Plus,61.1,Yes,No,1273.73,4.8,
S-10892,Midwest,Monthly Plus,42.8,1,No,558.60,9.8,
S-12304,Midwest,Monthly Plus,82.3,1,Yes,572.46,10.9,found alternative
S-15913,Midwest,Quarterly Bundle,63.7,0,No,"$2,118.87",,
S-16905,South,Quarterly Bundle,84.8,0,False,281.74,,
S-12284,West,Monthly Plus,98.5,Yes,No,$902.75,0.0,
S-14045,West,Monthly Essentials,48.3,0,No,$116.85,,
S-12193,South,Monthly Plus,93.9,1,Yes,USD 336.16,2.8,
S-14955,South,Monthly Plus,45.3,No,No,755.43,,
S-12905,Midwest,Monthly Plus,93.9,Yes,No,USD 163.40,1.5,
S-17457,Midwest,Monthly Essentials,88.1,False,0,$718.90,,
S-13878,Northeast,Monthly Plus,49.0,False,False,$838.63,,
S-11848,West,Monthly Essentials,62.0,Yes,False,237.43,10.6,
S-10894,Midwest,Monthly Plus,52.8,True,Yes,1027.06,3.3,found alternative
S-15811,South,Monthly Essentials,67.9,No,False,$776.41,,
S-16579,South,Monthly Essentials,66.8,No,Yes,$671.14,,moving/relocating
S-16579,South,Monthly Essentials,66.8,No,Yes,$671.14,,moving/relocating
S-11479,Midwest,Quarterly Bundle,72.4,True,False,USD 2404.44,9.9,
S-16809,Northeast,Monthly Essentials,92.5,False,No,USD 792.69,,
S-12733,South,Quarterly Bundle,95.4,Yes,1,"$2,058.81",11.7,poor quality
S-17269,Northeast,Monthly Plus,82.9,False,False,346.42,,
S-10245,Northeast,Monthly Essentials,39.0,True,Yes,246.40,7.5,
S-10037,West,Monthly Plus,44.1,True,No,"$1,388.17",5.6,
S-16953,Midwest,Monthly Essentials,93.7,False,No,398.13,,
S-16039,Midwest,Monthly Essentials,71.5,No,False,459.45,,
S-18002,West,Monthly Essentials,79.2,No,No,316.20,,
S-16529,Northeast,Quarterly Bundle,64.5,No,No,1359.24,,
S-12928,Midwest,Quarterly Bundle,99.8,Yes,1,"$2,059.95",3.0,
S-14694,South,Monthly Essentials,50.5,No,No,$314.75,,
S-16230,West,Monthly Plus,55.6,No,False,USD 432.47,,
S-16770,Midwest,Quarterly Bundle,89.9,No,False,1603.55,,
S-10059,South,Quarterly Bundle,54.2,True,No,USD 720.41,3.8,
S-17574,South,Monthly Essentials,78.1,No,False,282.90,,
S-12828,South,Monthly Essentials,90.7,True,Yes,USD 37.31,5.0,moving/relocating
S-17743,South,Monthly Plus,99.4,No,0,"$1,069.78",,
S-12981,Midwest,Monthly Plus,95.8,1,Yes,USD 239.50,5.9,shipping issues
S-10363,West,Monthly Plus,50.4,Yes,Yes,USD 645.57,4.5,shipping issues
S-11017,Midwest,Quarterly Bundle,47.9,Yes,1,USD 3392.82,0.2,too expensive
S-12154,Midwest,Monthly Essentials,57.1,Yes,False,643.71,1.3,
S-13091,Midwest,Quarterly Bundle,85.4,1,1,"$1,801.81",0.3,bad support experience
S-12888,South,Quarterly Bundle,99.7,Yes,0,"$2,585.28",4.0,
S-13143,Midwest,Monthly Essentials,87.1,1,False,$729.55,13.6,
S-17658,Midwest,Monthly Essentials,85.9,0,No,942.60,,
S-17754,Midwest,Quarterly Bundle,79.4,No,No,2236.79,,
S-11727,South,Monthly Essentials,57.9,Yes,True,160.34,5.6,shipping issues
S-12862,Midwest,Monthly Essentials,84.3,True,No,$527.89,2.8,
S-13410,Midwest,Monthly Essentials,50.3,0,0,946.50,,
S-13606,South,Monthly Essentials,40.5,No,Yes,730.90,,bad support experience
S-13342,South,Monthly Plus,41.8,No,0,1328.73,,
S-13585,Midwest,Monthly Essentials,41.3,False,False,USD 369.45,,
S-16689,Midwest,Monthly Plus,94.1,No,No,USD 841.04,,
S-16060,West,Monthly Plus,69.7,False,False,$952.66,,
S-16060,West,Monthly Plus,69.7,False,False,$952.66,,
S-15652,West,Monthly Plus,56.3,No,0,$866.52,,
S-10231,West,Monthly Essentials,48.1,Yes,False,526.80,1.6,
S-17977,South,Monthly Plus,77.4,False,False,$517.44,,
S-15372,South,Monthly Plus,64.2,No,No,$564.94,,
S-11898,South,Quarterly Bundle,71.7,True,False,$443.45,5.1,
S-14189,Midwest,Quarterly Bundle,44.1,False,No,USD 2663.94,,
S-10843,Midwest,Monthly Plus,35.7,1,1,1466.46,12.4,bad support experience
S-14010,Northeast,Monthly Essentials,44.9,No,No,485.19,,
S-14958,West,Monthly Essentials,60.6,No,No,$639.18,,
S-13235,West,Quarterly Bundle,82.3,Yes,No,2603.26,7.6,
S-17446,West,Monthly Plus,85.6,False,No,678.18,,
S-14985,West,Monthly Essentials,55.5,No,No,487.05,,
S-15704,South,Monthly Plus,63.6,0,No,253.22,,
S-12883,Midwest,Quarterly Bundle,90.9,Yes,No,875.03,9.5,
S-18291,Midwest,Monthly Plus,79.2,False,No,USD 747.21,,
S-14036,Midwest,Monthly Essentials,50.0,0,No,$73.48,,
S-16650,West,Monthly Essentials,61.8,False,No,807.44,,
S-15551,South,Quarterly Bundle,72.6,0,No,837.76,,
S-10067,Midwest,Monthly Essentials,38.8,True,False,$214.02,2.5,
S-12499,Midwest,Monthly Plus,85.2,Yes,No,"$1,288.21",9.8,
S-10373,West,Monthly Plus,40.3,True,1,56.60,6.2,poor quality
S-14766,Northeast,Quarterly Bundle,49.6,0,No,3444.14,,
S-14766,Northeast,Quarterly Bundle,49.6,0,No,3444.14,,
S-16732,South,Monthly Essentials,99.5,No,No,631.99,,
S-12398,West,Monthly Plus,89.0,Yes,0,USD 634.73,2.3,
S-18162,Midwest,Monthly Plus,89.1,False,No,274.53,,
S-17968,Northeast,Monthly Plus,99.5,No,No,267.18,,
S-11639,South,Monthly Essentials,69.5,Yes,False,36.89,4.8,
S-17663,Northeast,Monthly Plus,94.4,No,False,USD 547.63,,
S-13131,West,Quarterly Bundle,76.8,True,False,"$2,312.95",0.4,
S-12885,South,Monthly Plus,92.9,True,False,56.03,3.8,
S-18276,West,Monthly Plus,79.3,0,False,1198.98,,
S-15090,West,Monthly Essentials,64.7,No,0,85.61,,
S-17453,Midwest,Quarterly Bundle,80.9,False,No,1228.52,,
